Face ID,Emotion,Intensity,Timestamp
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Happy,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Neutral,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Neutral,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Neutral,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Fear,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Surprise,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
cam_face,Sad,1.0,camera_time
